chrom	start	end	S05	S06	S04	S03	S02	S01	S13	S15	S10	S16	S11	S12	S14	S08	S09	S07	S24	S18	S23	S22	S20	S21	S19	S17	S26	S27	S37	S40	S28	S31	S32	S35	S33	S36	S39	S38	S30	S25	S29	S34
NC_000962.3	1900000	2000000	66.8	106.6	86.3	98.1	104.7	73.0	100.9	94.4	53.4	64.9	56.7	64.4	59.0	43.2	93.1	55.4	53.4	80.1	58.4	64.2	87.6	73.8	68.2	67.8	61.6	81.2	101.8	83.7	106.8	60.9	64.5	103.5	56.1	97.4	66.7	68.1	105.4	85.5	72.6	86.6
NC_000962.3	2000000	2100000	69.9	107.7	88.9	91.3	97.8	80.4	86.8	91.8	48.1	56.7	55.9	64.1	63.6	45.4	86.1	60.8	52.4	73.4	53.1	72.0	81.2	77.1	61.2	61.5	57.1	69.3	108.7	80.7	100.7	72.7	69.0	89.3	55.2	113.1	74.9	58.5	92.8	76.9	80.0	79.6
NC_000962.3	2100000	2200000	77.3	112.8	89.4	101.3	98.0	72.7	103.6	96.7	50.0	65.3	59.1	60.6	57.5	50.3	86.4	59.4	46.0	83.8	51.7	73.4	74.8	86.6	57.7	65.1	62.5	74.2	112.6	82.6	115.2	69.7	71.0	93.9	54.7	95.3	72.5	61.9	96.3	75.0	80.0	88.0
NC_000962.3	2200000	2300000	74.2	103.8	89.9	101.5	92.5	71.6	85.3	96.7	50.3	65.8	59.6	63.6	58.9	43.2	90.8	60.1	51.6	84.0	56.5	71.2	79.0	85.1	62.5	66.8	53.4	79.6	118.8	84.8	104.7	60.7	70.1	100.2	56.7	108.5	79.1	69.6	108.2	72.2	72.1	80.4
NC_000962.3	2300000	2400000	76.2	111.1	95.6	101.5	87.1	74.8	91.9	89.5	55.9	56.0	50.0	66.8	66.7	46.6	101.7	55.8	54.5	81.6	55.4	74.6	90.7	75.5	62.8	59.1	63.0	71.8	107.9	88.8	105.2	63.2	73.1	100.8	55.7	97.6	65.5	68.0	102.5	71.5	74.1	92.0
NC_000962.3	2400000	2500000	74.2	112.1	101.6	102.9	98.8	76.8	98.2	91.6	54.4	56.8	60.0	63.0	64.0	45.9	91.7	53.9	48.3	84.2	57.8	67.9	75.5	87.9	59.0	63.3	52.0	71.0	113.1	92.2	103.8	69.1	72.8	89.0	57.2	112.5	66.1	61.2	103.4	81.8	68.6	92.7
NC_000962.3	2500000	2600000	70.1	116.9	102.9	88.0	102.6	85.1	101.1	89.8	53.8	62.6	52.0	55.2	65.2	44.4	103.1	59.5	47.0	85.0	51.3	72.9	77.3	73.6	67.2	65.2	60.9	80.7	104.6	82.0	100.2	69.1	64.1	95.1	54.0	100.6	73.8	59.3	102.6	81.1	77.4	86.1
NC_000962.3	2600000	2700000	69.4	108.6	86.2	88.0	99.8	84.6	86.1	98.0	48.6	61.8	59.5	57.8	61.2	47.8	97.3	55.1	51.1	83.0	58.8	74.1	85.5	77.3	64.1	59.3	56.1	70.6	118.5	88.5	113.9	66.3	75.9	105.5	60.8	106.4	67.9	59.4	94.2	81.3	78.6	78.4
NC_000962.3	2700000	2800000	76.4	103.3	100.8	92.1	101.6	80.5	89.3	97.6	51.1	57.4	59.7	58.8	68.8	46.4	94.8	61.8	52.9	84.3	61.7	72.7	77.3	83.7	68.8	69.0	51.9	68.6	107.1	80.1	95.2	65.1	67.5	98.6	59.5	113.0	73.9	58.6	110.9	79.4	78.7	80.6
NC_000962.3	2800000	2900000	74.8	109.6	87.1	102.0	88.6	77.4	96.9	98.4	55.4	64.7	55.1	55.2	66.1	46.7	92.8	62.4	50.7	74.2	57.8	70.5	78.9	79.7	64.2	70.4	54.4	74.1	118.5	90.4	109.8	67.2	73.9	91.2	56.3	93.6	69.3	66.6	104.3	70.6	73.4	86.1
NC_000962.3	2900000	3000000	71.3	110.3	98.4	87.6	93.4	80.2	102.3	83.7	55.1	65.5	55.4	66.9	64.5	46.2	94.5	52.9	51.8	75.9	54.2	74.8	78.2	84.8	68.2	65.7	52.5	68.8	111.5	80.7	108.5	61.2	77.1	101.5	60.5	111.9	75.1	70.8	93.9	83.3	71.5	81.3
NC_000962.3	3000000	3100000	71.1	99.4	96.3	91.3	99.9	82.0	85.0	92.3	50.1	59.1	56.9	66.6	61.0	50.2	99.9	59.4	51.8	73.4	52.2	70.5	87.6	86.2	57.0	67.3	61.9	70.4	114.1	85.1	105.1	61.1	66.7	93.7	56.7	95.3	67.6	67.4	96.8	71.8	73.9	85.3
NC_000962.3	3100000	3200000	69.2	113.4	94.4	96.4	96.6	74.6	88.3	95.8	48.2	54.8	57.4	65.0	65.4	48.2	90.2	54.8	101.7	174.8	102.9	68.0	76.6	79.7	58.4	60.4	62.5	73.5	105.5	93.9	97.1	67.2	74.8	105.2	60.2	106.2	77.6	63.1	107.5	71.5	76.9	78.3
NC_000962.3	3200000	3300000	70.6	111.2	101.6	87.2	86.9	85.9	100.0	91.1	48.9	60.7	54.3	57.1	66.5	49.6	86.4	56.7	50.9	83.7	53.0	74.9	81.2	76.4	58.6	66.8	57.1	77.0	117.1	87.9	100.3	67.8	76.1	102.1	63.1	105.2	68.4	69.2	94.8	84.0	73.0	91.1
NC_000962.3	3300000	3400000	73.2	111.7	95.1	94.0	97.1	80.6	102.7	97.9	57.0	62.5	53.5	65.5	59.2	43.1	98.9	53.5	54.7	72.6	54.4	62.1	88.8	86.9	65.2	60.6	53.8	78.7	99.8	87.9	100.2	62.6	73.3	100.4	62.8	99.6	66.5	70.6	98.3	74.3	70.6	88.4
NC_000962.3	3400000	3500000	75.4	114.1	87.0	89.3	90.5	86.2	87.4	83.9	56.2	59.0	58.0	66.9	66.0	47.1	100.0	53.9	47.4	79.4	56.4	73.6	86.5	87.8	57.6	59.6	52.7	78.6	115.0	84.4	107.1	67.6	68.8	97.0	56.7	104.5	66.8	69.2	106.5	71.3	82.8	80.8
NC_000962.3	3500000	3600000	76.5	118.0	85.9	84.7	87.6	77.6	97.1	94.3	49.5	64.8	50.8	65.9	60.6	50.3	97.7	56.8	48.9	84.1	60.4	63.0	76.1	85.7	63.0	71.8	55.6	69.2	116.1	88.2	106.1	65.0	68.9	89.1	58.6	102.5	70.5	59.9	104.5	79.0	69.9	85.9
NC_000962.3	3600000	3700000	70.9	106.7	89.7	102.1	93.9	85.4	85.3	98.3	52.0	56.6	54.4	66.4	62.5	46.4	87.6	61.5	51.5	77.2	56.0	73.6	75.0	75.4	61.1	70.0	56.7	78.7	99.4	93.5	107.2	69.0	65.6	87.7	55.2	99.3	70.9	68.4	111.1	79.4	68.9	79.2
NC_000962.3	3700000	3800000	64.0	97.7	99.0	103.1	97.9	83.4	87.1	86.3	57.3	55.8	57.9	55.3	57.8	44.1	95.6	54.6	53.7	87.6	54.5	74.6	85.6	85.0	62.4	64.8	59.8	81.1	100.2	84.0	102.2	65.8	69.1	88.8	57.4	96.2	65.8	70.5	98.2	85.6	79.4	80.4
NC_000962.3	3800000	3900000	75.8	109.8	101.7	89.5	88.6	73.9	89.8	83.3	49.9	62.0	52.5	57.3	62.0	43.3	96.0	58.4	47.0	76.3	52.9	64.6	83.6	77.4	57.4	64.6	53.8	79.2	105.3	79.7	103.4	65.6	71.6	102.8	54.2	97.7	65.1	58.5	112.9	81.7	68.4	83.2
NC_000962.3	3900000	4000000	74.0	100.4	85.1	94.7	87.2	86.5	95.7	88.3	47.9	63.9	56.8	65.5	61.1	44.1	100.3	59.8	52.3	73.1	60.5	73.0	80.8	83.3	62.6	70.6	57.5	81.3	104.9	94.1	99.7	63.6	77.8	105.1	61.4	98.8	70.8	60.0	104.8	74.8	74.5	82.5
NC_000962.3	4000000	4100000	64.7	105.2	98.9	89.9	86.6	72.8	95.7	90.7	56.8	60.3	56.9	59.5	65.8	51.7	89.5	62.3	51.2	76.6	53.8	64.6	87.2	80.1	67.3	59.3	59.3	71.2	118.3	91.5	114.3	71.0	77.2	103.4	54.1	94.7	67.8	63.2	112.5	76.8	75.7	86.4
NC_000962.3	4100000	4200000	74.6	104.8	88.3	87.1	87.1	80.0	86.9	93.8	56.3	57.3	56.7	57.3	63.7	50.2	87.0	63.3	48.2	81.8	52.0	74.0	81.2	85.7	68.7	67.4	58.0	68.8	111.0	92.6	100.6	70.6	72.7	95.4	61.4	112.9	67.8	64.0	108.8	74.8	76.2	91.9
NC_000962.3	4200000	4300000	74.1	101.1	94.0	95.6	97.5	79.9	98.2	85.9	56.0	59.1	52.6	64.8	59.3	47.7	101.5	60.2	46.9	85.0	50.8	71.0	79.4	88.3	58.2	67.7	61.6	70.8	104.4	85.0	95.3	69.9	67.4	99.1	64.1	100.9	78.8	69.7	103.0	74.3	78.9	85.4
NC_000962.3	4300000	4400000	69.6	103.4	88.7	96.2	100.5	86.6	94.2	90.6	57.7	54.0	54.6	63.0	65.3	44.9	90.6	55.9	53.5	79.9	60.5	63.9	88.7	81.3	60.5	69.3	60.7	68.6	118.8	88.7	114.3	60.1	78.0	96.3	56.7	105.3	73.4	63.7	106.3	85.0	69.9	90.8
NC_000962.3	4400000	4411532	72.0	116.9	103.5	100.7	101.4	75.3	85.4	92.5	56.2	57.6	50.6	56.3	61.4	51.9	94.6	59.6	51.8	75.3	53.0	73.2	74.9	84.7	67.3	67.3	58.5	69.8	108.3	94.4	113.4	60.8	64.6	95.3	64.3	103.2	74.3	69.2	107.1	80.8	82.2	89.8
